ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
2.0.0-dev,true,http,http.request.referrer,keyword,extended,,https://blog.example.com/,Referrer for this HTTP request.
2.0.0-dev,true,http,http.response.body.bytes,long,extended,,887,Size in bytes of the response body.
2.0.0-dev,true,http,http.response.body.content,keyword,extended,,Hello world,The full HTTP response body.
2.0.0-dev,true,http,http.response.body.content.text,text,extended,,Hello world,The full HTTP response body.
2.0.0-dev,true,http,http.response.bytes,long,extended,,1437,Total size in bytes of the response (body and headers).
2.0.0-dev,true,http,http.response.mime_type,keyword,extended,,image/gif,Mime type of the body of the response.
2.0.0-dev,true,http,http.response.status_code,long,extended,,404,HTTP response status code.
2.0.0-dev,true,http,http.version,keyword,extended,,1.1,HTTP version.
2.0.0-dev,true,network,network.application,keyword,extended,,aim,Application level protocol name.
2.0.0-dev,true,network,network.bytes,long,core,,368,Total bytes transferred in both directions.
2.0.0-dev,true,network,network.community_id,keyword,extended,,1:hO+sN4H+MG5MY/8hIrXPqc4ZQz0=,A hash of source and destination IPs and ports.
2.0.0-dev,true,network,network.direction,keyword,core,,inbound,Direction of the network traffic.
2.0.0-dev,true,network,network.forwarded_ip,ip,core,,192.1.1.2,Host IP address when the source IP address is the proxy.
2.0.0-dev,true,network,network.iana_number,keyword,extended,,6,IANA Protocol Number.
2.0.0-dev,true,network,network.inner,object,extended,,,Inner VLAN tag information
2.0.0-dev,true,network,network.inner.vlan.id,keyword,extended,,10,VLAN ID as reported by the observer.
2.0.0-dev,true,network,network.inner.vlan.name,keyword,extended,,outside,Optional VLAN name as reported by the observer.
2.0.0-dev,true,network,network.name,keyword,extended,,Guest Wifi,Name given by operators to sections of their network.
2.0.0-dev,true,network,network.packets,long,core,,24,Total packets transferred in both directions.
2.0.0-dev,true,network,network.protocol,keyword,core,,http,L7 Network protocol name.
2.0.0-dev,true,network,network.transport,keyword,core,,tcp,Protocol Name corresponding to the field `iana_number`.
2.0.0-dev,true,network,network.type,keyword,core,,ipv4,"In the OSI Model this would be the Network Layer. ipv4, ipv6, ipsec, pim, etc"
2.0.0-dev,true,network,network.vlan.id,keyword,extended,,10,VLAN ID as reported by the observer.
2.0.0-dev,true,network,network.vlan.name,keyword,extended,,outside,Optional VLAN name as reported by the observer.
2.0.0-dev,true,related,related.ip,ip,extended,array,,All of the IPs seen on your event.
2.0.0-dev,true,related,related.user,keyword,extended,array,,All the user names or other user identifiers seen on the event.
